time,open,high,low,close,tick_volume,spread,real_volume
2023-04-18 20:45:00-05:00,1.09731,1.09732,1.09731,1.09732,10,0,0
2023-04-18 20:46:00-05:00,1.09732,1.09734,1.09731,1.09734,4,0,0
2023-04-18 20:47:00-05:00,1.09734,1.09734,1.09732,1.09733,7,0,0
2023-04-18 20:48:00-05:00,1.09733,1.09737,1.09732,1.09737,14,0,0
2023-04-18 20:49:00-05:00,1.09737,1.09737,1.09735,1.09735,2,2,0
2023-04-18 20:50:00-05:00,1.09735,1.09735,1.09734,1.09734,4,0,0
2023-04-18 20:51:00-05:00,1.09734,1.09738,1.09734,1.09737,14,0,0
2023-04-18 20:52:00-05:00,1.09737,1.09737,1.0973600000000001,1.09737,7,0,0
2023-04-18 20:53:00-05:00,1.09737,1.09737,1.0973600000000001,1.09737,15,0,0
2023-04-18 20:54:00-05:00,1.09737,1.09738,1.0973600000000001,1.09738,6,0,0
2023-04-18 20:55:00-05:00,1.09738,1.09738,1.09737,1.09737,6,0,0
2023-04-18 20:56:00-05:00,1.09737,1.09738,1.0973600000000001,1.09737,10,0,0
2023-04-18 20:57:00-05:00,1.09737,1.09737,1.09737,1.09737,1,1,0
2023-04-18 20:58:00-05:00,1.09737,1.09738,1.0973600000000001,1.09738,10,0,0
2023-04-18 20:59:00-05:00,1.09737,1.0974,1.0973600000000001,1.0974,29,0,0
2023-04-18 21:00:00-05:00,1.0974,1.09741,1.09734,1.0973600000000001,24,0,0
2023-04-18 21:01:00-05:00,1.09734,1.0974,1.09734,1.0974,13,0,0
2023-04-18 21:02:00-05:00,1.0974,1.09742,1.09738,1.09741,22,0,0
2023-04-18 21:03:00-05:00,1.09741,1.09742,1.09739,1.0974,7,0,0
2023-04-18 21:04:00-05:00,1.0974,1.09742,1.09739,1.09742,18,0,0
2023-04-18 21:05:00-05:00,1.09742,1.09742,1.0974,1.09741,28,0,0
2023-04-18 21:06:00-05:00,1.0974,1.09743,1.0974,1.09742,16,0,0
2023-04-18 21:07:00-05:00,1.09742,1.09752,1.09742,1.0975,14,0,0
2023-04-18 21:08:00-05:00,1.0975,1.09753,1.09747,1.09747,23,0,0
2023-04-18 21:09:00-05:00,1.09747,1.09747,1.09743,1.09745,31,0,0
2023-04-18 21:10:00-05:00,1.09745,1.0975,1.09744,1.09748,19,0,0
2023-04-18 21:11:00-05:00,1.09748,1.09754,1.09748,1.09752,12,0,0
2023-04-18 21:12:00-05:00,1.09751,1.09756,1.0975,1.09756,9,0,0
2023-04-18 21:13:00-05:00,1.09756,1.09756,1.09756,1.09756,1,0,0
2023-04-18 21:14:00-05:00,1.09756,1.09758,1.09756,1.09756,4,0,0
2023-04-18 21:15:00-05:00,1.09756,1.09758,1.09756,1.09756,8,0,0
2023-04-18 21:16:00-05:00,1.09756,1.09761,1.09755,1.09757,24,0,0
2023-04-18 21:17:00-05:00,1.09757,1.09757,1.09748,1.09749,10,0,0
2023-04-18 21:18:00-05:00,1.09749,1.09749,1.09749,1.09749,1,0,0
2023-04-18 21:19:00-05:00,1.09749,1.0975,1.09749,1.0975,10,0,0
2023-04-18 21:20:00-05:00,1.0975,1.0975,1.09749,1.09749,4,0,0
2023-04-18 21:21:00-05:00,1.09749,1.0975,1.09749,1.09749,3,0,0
2023-04-18 21:22:00-05:00,1.09749,1.09755,1.09748,1.09751,11,0,0
2023-04-18 21:23:00-05:00,1.09751,1.09751,1.0975,1.0975,2,0,0
2023-04-18 21:24:00-05:00,1.0975,1.0975,1.0975,1.0975,1,0,0
2023-04-18 21:25:00-05:00,1.0975,1.0975,1.0975,1.0975,1,0,0
2023-04-18 21:26:00-05:00,1.0975,1.0975,1.09748,1.09748,2,0,0
2023-04-18 21:27:00-05:00,1.09748,1.09748,1.09746,1.09746,8,0,0
2023-04-18 21:28:00-05:00,1.09746,1.09748,1.09746,1.09747,5,0,0
2023-04-18 21:29:00-05:00,1.09747,1.09748,1.09747,1.09748,2,1,0
2023-04-18 21:30:00-05:00,1.09748,1.0975,1.09748,1.09748,4,0,0
2023-04-18 21:31:00-05:00,1.09748,1.09751,1.09747,1.09748,14,0,0
2023-04-18 21:32:00-05:00,1.09748,1.09755,1.09747,1.09755,12,0,0
2023-04-18 21:33:00-05:00,1.09755,1.09764,1.09754,1.09757,16,0,0
2023-04-18 21:34:00-05:00,1.09757,1.09758,1.09754,1.09756,13,0,0
2023-04-18 21:35:00-05:00,1.09758,1.0976,1.09755,1.09755,12,0,0
2023-04-18 21:36:00-05:00,1.09755,1.09756,1.09754,1.09754,6,0,0
2023-04-18 21:37:00-05:00,1.09754,1.09756,1.0975,1.09755,14,0,0
2023-04-18 21:38:00-05:00,1.09755,1.09756,1.09755,1.09755,11,0,0
2023-04-18 21:39:00-05:00,1.09755,1.09758,1.09755,1.09758,5,0,0
2023-04-18 21:40:00-05:00,1.09758,1.09766,1.09758,1.09766,5,0,0
2023-04-18 21:41:00-05:00,1.09766,1.09766,1.0976,1.09761,5,0,0
2023-04-18 21:42:00-05:00,1.09761,1.09762,1.0976,1.0976,11,0,0
2023-04-18 21:43:00-05:00,1.0976,1.09763,1.0976,1.09763,2,0,0
2023-04-18 21:44:00-05:00,1.09762,1.09763,1.0976,1.09762,5,0,0
2023-04-18 21:45:00-05:00,1.09762,1.09763,1.09759,1.09759,10,0,0
2023-04-18 21:46:00-05:00,1.0976,1.09761,1.09758,1.09761,8,0,0
2023-04-18 21:47:00-05:00,1.09761,1.09761,1.09755,1.09756,7,0,0
2023-04-18 21:48:00-05:00,1.09756,1.09756,1.09755,1.09755,4,0,0
2023-04-18 21:49:00-05:00,1.09755,1.09755,1.09748,1.09753,17,0,0
2023-04-18 21:50:00-05:00,1.09753,1.09753,1.0975,1.09751,14,0,0
2023-04-18 21:51:00-05:00,1.09751,1.09756,1.0975,1.09756,39,0,0
2023-04-18 21:52:00-05:00,1.09756,1.09756,1.09751,1.09756,25,0,0
2023-04-18 21:53:00-05:00,1.09756,1.09756,1.09749,1.09752,15,0,0
2023-04-18 21:54:00-05:00,1.09752,1.09753,1.09738,1.0974,37,0,0
2023-04-18 21:55:00-05:00,1.0974,1.09746,1.09739,1.09746,31,0,0
2023-04-18 21:56:00-05:00,1.09746,1.09755,1.09745,1.09755,25,0,0
2023-04-18 21:57:00-05:00,1.09755,1.0976,1.09754,1.09756,24,0,0
2023-04-18 21:58:00-05:00,1.09756,1.09756,1.0975,1.0975,22,0,0
2023-04-18 21:59:00-05:00,1.0975,1.09754,1.09749,1.0975,20,0,0
2023-04-18 22:00:00-05:00,1.09753,1.09769,1.09752,1.09767,50,0,0
2023-04-18 22:01:00-05:00,1.09767,1.09774,1.09764,1.09773,41,0,0
2023-04-18 22:02:00-05:00,1.09774,1.09788,1.09774,1.09786,48,0,0
2023-04-18 22:03:00-05:00,1.09786,1.0979,1.09764,1.09765,39,0,0
2023-04-18 22:04:00-05:00,1.09765,1.09766,1.09752,1.09757,38,0,0
2023-04-18 22:05:00-05:00,1.09755,1.09765,1.09754,1.0976,25,0,0
2023-04-18 22:06:00-05:00,1.0976,1.09763,1.09756,1.09758,14,0,0
2023-04-18 22:07:00-05:00,1.09758,1.09772,1.09753,1.09772,23,0,0
2023-04-18 22:08:00-05:00,1.09772,1.09778,1.09771,1.09775,17,0,0
2023-04-18 22:09:00-05:00,1.09776,1.09779,1.0977,1.09773,23,0,0
2023-04-18 22:10:00-05:00,1.09774,1.09775,1.09764,1.09767,30,0,0
2023-04-18 22:11:00-05:00,1.09767,1.09775,1.09765,1.09774,27,0,0
2023-04-18 22:12:00-05:00,1.09772,1.09772,1.09764,1.09766,13,0,0
2023-04-18 22:13:00-05:00,1.09766,1.09772,1.09764,1.09768,8,0,0
2023-04-18 22:14:00-05:00,1.09768,1.09768,1.09762,1.09763,16,0,0
2023-04-18 22:15:00-05:00,1.09764,1.09764,1.09754,1.09755,17,0,0
2023-04-18 22:16:00-05:00,1.09755,1.09756,1.0975,1.09754,17,0,0
2023-04-18 22:17:00-05:00,1.09754,1.09754,1.0975,1.09752,8,0,0
2023-04-18 22:18:00-05:00,1.09752,1.09758,1.09752,1.09754,10,0,0
2023-04-18 22:19:00-05:00,1.09754,1.0976,1.09754,1.0976,14,0,0
2023-04-18 22:20:00-05:00,1.0976,1.0976,1.0975,1.09758,18,0,0
2023-04-18 22:21:00-05:00,1.09758,1.0977,1.09757,1.09766,34,0,0
2023-04-18 22:22:00-05:00,1.09766,1.09768,1.09762,1.09762,25,0,0
2023-04-18 22:23:00-05:00,1.09762,1.09765,1.09756,1.09756,26,0,0
2023-04-18 22:24:00-05:00,1.09756,1.09756,1.09754,1.09755,14,0,0
